기준년코드,기준분기코드,상권구분코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,술집점포수,유사업종점포수,개업율,개업점포수,폐업률,폐업점포수,프랜차이즈점포수
2015,1,A,골목상권,1000935,테헤란로81길,CS100009,호프-간이주점,13,16,0,0,0,0,3
2015,1,A,골목상권,1000278,삼선교로10길,CS100009,호프-간이주점,12,14,7,1,0,0,2
2015,1,A,골목상권,1000379,동일로173가길,CS100009,호프-간이주점,7,7,0,0,29,2,0
2015,1,D,발달상권,1001051,보라매공원,CS100009,호프-간이주점,22,26,4,1,8,2,4
2015,1,A,골목상권,1000958,송파대로30길,CS100009,호프-간이주점,21,35,0,0,3,1,14
2015,1,D,발달상권,1001039,서울 서초구 남부터미널역_2,CS100009,호프-간이주점,19,26,8,2,4,1,7
2015,1,D,발달상권,1001216,서울 종로구 종로3가역_1,CS100009,호프-간이주점,11,13,0,0,0,0,2
2015,1,D,발달상권,1001219,서울 종로구 동대문역_1,CS100009,호프-간이주점,6,7,14,1,14,1,1
2015,1,D,발달상권,1001042,서울 서초구 남부터미널역_3,CS100009,호프-간이주점,7,7,0,0,14,1,0
2015,1,A,골목상권,1000584,등촌로13길,CS100009,호프-간이주점,7,7,0,0,0,0,0
2015,1,D,발달상권,1001034,서울 서초구 방배역,CS100009,호프-간이주점,23,32,0,0,3,1,9
2015,1,A,골목상권,1000807,미성5길,CS100009,호프-간이주점,4,4,50,2,25,1,0
2015,1,A,골목상권,1000133,긴고랑로20길,CS100009,호프-간이주점,13,14,21,3,0,0,1
2015,1,A,골목상권,1000342,오패산로67길,CS100009,호프-간이주점,15,15,7,1,13,2,0
2015,1,A,골목상권,1000641,도림로6길,CS100009,호프-간이주점,28,29,0,0,0,0,1
2015,1,A,골목상권,1000568,개화동로25길,CS100009,호프-간이주점,8,9,0,0,22,2,1
2015,1,D,발달상권,1001016,서울 관악구 대학동_1,CS100009,호프-간이주점,35,43,0,0,7,3,8
2015,1,A,골목상권,1000241,면목로21길,CS100009,호프-간이주점,5,5,0,0,20,1,0
2015,1,D,발달상권,1001205,동대문역사문화공원역,CS100009,호프-간이주점,21,24,0,0,4,1,3
2015,1,D,발달상권,1001048,뱅뱅사거리,CS100009,호프-간이주점,11,12,8,1,0,0,1
