기준년코드,기준분기코드,상권코드,총유동인구수,남성유동인구수,여성유동인구수,연령대10유동인구수,연령대20유동인구수,연령대30유동인구수,연령대40유동인구수,연령대50유동인구수,연령대60이상유동인구수,월요일유동인구수,화요일유동인구수,수요일유동인구수,목요일유동인구수,금요일유동인구수,토요일유동인구수,일요일유동인구수
2015,1,1000001,107569,64734,42835,2003,15359,32361,30315,21387,6148,20597,20798,18108,17141,15259,8856,6814
2015,1,1000002,151355,92716,58639,1456,18019,35058,36753,36690,23379,28870,27968,24563,22693,21106,14566,11588
2015,1,1000003,132010,92716,39294,572,12625,25734,27179,22812,14366,20373,20342,17738,16662,15032,8212,4926
2015,1,1000004,103837,54747,49090,7241,39300,19219,18074,14365,5638,19280,19116,17161,15945,13033,10124,9175
2015,1,1000005,12428,7151,5277,661,3690,867,4627,2479,102,3401,3538,2027,1702,1143,444,173
2015,1,1000006,56134,33124,23010,1048,8145,16072,15393,11321,4153,10597,10658,9286,8861,7916,4926,3885
2015,1,1000007,56488,33660,22828,889,10082,18301,15315,9171,2729,10827,10865,9470,9266,8149,4500,3414
2015,1,1000008,27272,16663,10609,413,3386,8608,8169,5564,1136,5448,5452,4715,4510,3751,2010,1385
2015,1,1000009,12528,7282,5246,177,1858,4159,3829,2206,300,2505,2514,2062,2055,1772,979,642
2015,1,1000010,95006,49723,45283,5956,29818,18370,17613,14471,8775,17591,17508,15834,14710,12390,9141,7834
2015,1,1000011,208084,116856,91228,4731,27189,47630,50625,48614,29298,39039,38328,33785,31895,28784,19788,16471
2015,1,1000012,78237,40937,37300,3092,10779,20823,21927,16457,5160,14213,14322,12795,12115,10258,7719,6823
2015,1,1000013,46259,29510,16749,37,5137,11587,12636,10983,5879,9560,9522,8215,7583,6733,3377,1271
2015,1,1000014,66336,37956,28380,1433,13726,17109,15855,12383,5827,12460,12700,10983,10237,9399,6350,4204
2015,1,1000015,138625,73637,64988,4171,32542,37138,31619,23175,9978,25047,25728,22662,21149,19037,14061,10939
2015,1,1000016,147161,78548,68613,8986,21172,35668,38055,28493,14785,26837,26904,23921,22618,19828,14252,12797
2015,1,1000017,125223,78377,46846,1515,18543,25909,30513,28868,19874,25030,24441,21187,19980,19014,10609,4961
2015,1,1000018,401040,206874,194166,14389,80839,95370,81669,74320,54451,73132,74356,64546,60607,56046,43772,28580
2015,1,1000019,200548,112347,88201,2921,25068,43998,49064,50270,29229,37554,36692,31842,30069,27273,20244,16875
2015,1,1000020,343730,177582,166148,11484,46564,77174,88730,79678,40098,62867,62209,54272,50876,44941,37674,30890
2015,1,1000021,266998,131124,135874,9541,70628,66820,55475,42209,22325,46056,47650,43016,40158,35968,29152,24997
2015,1,1000022,105981,60244,45737,989,15537,27100,27488,23970,10896,20331,20888,17771,16599,14306,10557,5531
2015,1,1000023,377288,206233,171055,8155,61438,102170,92043,76020,37466,70766,72758,62451,58534,51027,39467,22289
2015,1,1000024,214998,113842,101156,4882,30383,49928,61308,49804,18696,40780,40941,35225,32645,27226,22075,16104
2015,1,1000025,72602,36403,36199,1499,5430,15412,22589,19563,8107,14109,13992,12526,11428,8847,6464,5228
2015,1,1000026,9619,6066,3553,61,442,1641,3238,3268,968,2158,2186,1553,1440,1120,676,487
2015,1,1000027,36812,20387,16425,1427,5413,9504,10355,7377,2739,6986,6869,6006,5730,5162,3254,2805
2015,1,1000028,344682,196232,148450,2715,41070,85664,86067,83874,45288,64030,63251,54888,51435,46357,37882,26839
2015,1,1000029,99192,57224,41968,353,10740,26916,25434,24105,11640,18596,18155,15621,14701,13393,11217,7504
2015,1,1000030,521753,290701,231052,6662,82243,144026,136973,107254,44600,99389,103118,87894,80779,69613,48847,32120
2015,1,1000031,132994,70196,62798,3234,16653,32864,37351,30512,12379,24841,24430,21807,20160,17477,13750,10529
2015,1,1000032,371131,201555,169576,10126,49266,92384,101165,80702,37487,70423,71104,60551,57220,50195,35964,25677
2015,1,1000033,310076,172653,137423,5086,42110,82404,83585,67954,28933,60715,63189,51250,48211,42160,27510,17043
2015,1,1000034,307321,155110,152211,13062,41701,75137,75144,62765,39513,55823,55145,49061,45941,39583,32676,29095
2015,1,1000035,113256,56847,56409,3869,16918,29736,27639,22172,12922,20717,20530,18139,17060,14740,11657,10414
2015,1,1000036,125544,64604,60940,3459,18861,33515,31425,24866,13415,23493,23367,20519,19024,16527,12143,10472
2015,1,1000037,123028,68342,54686,1978,22162,34387,31150,23559,9793,23323,24337,20900,19120,16150,11271,7926
2015,1,1000038,349041,173045,175996,16756,63960,84276,75247,62149,46654,63454,63658,55797,53083,48610,36073,28364
2015,1,1000039,203569,121449,82120,3091,32188,57013,54216,36790,20270,39554,40119,34933,32918,30151,14167,11728
2015,1,1000040,193475,122041,71434,2250,26842,50761,55111,38656,19851,39190,38910,34495,32033,28088,12119,8636
2015,1,1000041,244532,142047,102485,3150,47440,65289,61042,45388,22225,48069,49045,41900,38895,33578,19558,13493
2015,1,1000042,235534,122768,112766,9601,31463,55673,59128,49797,29870,43257,42995,38108,35569,30869,24502,20228
