기준년코드,기준분기코드,상권구분코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,당월매출금액,당월매출건수,주중매출비율,주말매출비율,월요일매출비율,화요일매출비율,수요일매출비율,목요일매출비율,금요일매출비율,토요일매출비율,일요일매출비율,시간대00~06매출비율,시간대06~11매출비율,시간대11~14매출비율,시간대14~17매출비율,시간대17~21매출비율,시간대21~24매출비율,남성매출비율,여성매출비율,연령대10매출비율,연령대20매출비율,연령대30매출비율,연령대40매출비율,연령대50매출비율,연령대60이상매출비율,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대건수~06매출건수,시간대건수~11매출건수,시간대건수~14매출건수,시간대건수~17매출건수,시간대건수~21매출건수,시간대건수~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2015,1,A,골목상권,1000876,언남길,CS100010,커피-음료,54320958,6568,86,14,16,20,17,17,16,12,2,0,10,44,28,17,1,49,52,0,24,36,27,12,2,47916478,6404480,10073740,11213432,8720902,9703770,8204634,6122029,282451,0,6567567,24967462,13589354,8563444,633131,21181013,24956476,110088,8719592,17377298,14350734,4599072,980706,5875,693,1121,1456,1128,1105,1065,615,78,0,902,2883,1843,886,54,2822,3050,27,1036,2104,1963,616,128,5
2015,1,D,발달상권,1001028,서울 관악구 서울대입구역_2,CS100010,커피-음료,101464651,14464,68,32,13,15,12,13,14,16,16,0,5,19,30,34,13,41,59,2,43,26,14,11,4,66628061,34836590,12724624,13777176,11994481,13848389,14283391,16751814,18084776,168304,5400797,18663265,28330720,34337021,14564544,39973884,59092564,1154642,40735625,29347908,14011258,10710010,3107007,9853,4611,1991,2034,1781,1986,2061,2246,2365,24,1047,2792,4061,4598,1942,5979,8275,182,5994,4314,1986,1354,428,3
2015,1,A,골목상권,1000799,남부순환로234길,CS100010,커피-음료,26315272,3548,57,43,6,13,13,11,14,19,23,0,6,29,27,28,10,52,48,0,36,39,18,6,2,15724691,10590581,2361862,3498200,3411353,3135464,3317812,4704493,5886088,45749,1546030,8124900,5389040,7699591,3509962,12949974,10758183,86807,6846093,9603541,4921873,1714331,535512,2029,1519,278,462,421,395,473,637,882,10,299,1074,844,908,413,1742,1558,10,1045,1330,649,199,66,1
2015,1,A,골목상권,1000779,흑석로9길,CS100010,커피-음료,530405825,81020,76,25,16,16,14,15,15,13,12,0,7,30,27,28,8,43,57,4,63,15,9,9,1,410645755,119760070,84064992,91328508,76680562,81399578,77172115,65147120,54612950,580135,30771544,167437056,138634037,147325179,45657874,200880489,289749600,24631121,316314921,62514706,41716075,40664450,4788815,62905,18115,13721,13752,11508,12301,11623,9624,8491,43,6478,25520,22117,21570,5292,30840,47608,4228,52476,9080,5807,6251,605,12
2015,1,A,골목상권,1000189,서울시립대로4길,CS100010,커피-음료,62136727,13594,52,48,9,12,12,10,10,23,24,0,7,25,37,26,5,35,65,4,34,33,21,7,2,38452954,23683773,7613624,9264992,8402495,8391705,4780138,12181164,11502609,0,5325650,14478470,19379047,17807921,5145639,20620208,40634115,1719330,17405260,21782202,12819199,6886129,642200,7982,5612,1837,1971,1511,1730,933,2856,2756,0,1801,3468,4037,3050,1238,4934,8614,372,4402,4877,2995,780,121,6
2015,1,D,발달상권,1001034,서울 서초구 방배역,CS100010,커피-음료,1375785541,166824,75,25,14,16,14,15,15,14,12,1,7,27,25,30,10,44,56,4,39,28,17,10,2,1012874620,362910921,222231022,205949842,178831589,196288774,209573393,183028425,179882496,38680421,91364570,357525528,341045127,381696664,165473231,530448659,670215194,46610187,470234525,339815297,194375376,120892426,28736045,123313,43511,24258,26086,23023,24360,25586,21645,21866,4015,12941,42102,41254,46866,19646,65246,88850,7658,67750,41627,20669,13333,3062,22
2015,1,A,골목상권,1000845,강남대로34길,CS100010,커피-음료,84566852,10954,87,13,19,19,15,16,17,7,6,0,10,40,25,21,4,48,52,0,26,40,19,10,4,70260057,14306795,14886061,14990637,12309639,13898793,14174927,7536512,6770283,834699,7636077,31892510,20391405,17115220,6696941,33964151,32698258,262284,17331889,27561154,12527768,6584659,2394660,9172,1782,1985,1989,1620,1732,1846,1027,755,24,1295,4341,2591,2178,525,4449,4639,46,2522,3636,1701,857,330,7
2015,1,D,발달상권,1001047,뱅뱅사거리_1,CS100010,커피-음료,494354851,63688,90,10,20,19,16,18,17,4,7,1,23,46,20,9,2,56,44,1,23,36,27,9,3,392588961,101765890,77610830,82556160,69847233,82331282,80243456,30014297,71751593,42874930,57141365,205602414,118535480,42129286,28071376,245680578,176428389,9298681,83373072,130622718,139290820,44964979,14558703,51400,12288,11066,10977,9671,9953,9733,2669,9619,181,12513,28916,15720,5862,496,29784,27785,2312,13706,19335,15200,5674,1348,10
2015,1,D,발달상권,1001065,은마아파트입구사거리_1,CS100010,커피-음료,184090134,30936,63,37,13,13,12,13,13,19,18,0,5,22,26,35,12,39,61,14,19,14,37,15,2,116823878,67266256,24061669,24105133,21346101,22409292,24901683,33560644,33705612,59567,8562488,43691166,48646692,62451201,20679020,66321611,98012647,18383965,31382546,25097950,56256867,27972148,5240783,19402,11534,3860,3965,3618,3926,4033,5833,5701,12,1505,6903,8167,10852,3497,10613,18008,4560,6113,3543,9775,4084,549,7
2015,1,A,골목상권,1000922,삼성로69길,CS100010,커피-음료,194256755,23047,77,23,13,20,15,14,15,12,11,13,7,27,21,20,12,58,43,3,22,27,29,18,1,158494071,35762684,31618419,33905191,27085842,32350481,33534138,20331191,15431493,44002628,12018991,45495696,28680713,31437826,32620901,82063334,52052414,2989286,22158182,31345424,43818032,30705292,3099530,17236,5811,3416,3651,3322,3500,3347,2962,2849,80,3282,8146,5382,4885,1272,9049,10658,850,5096,5889,4877,2482,518,9
2015,1,A,골목상권,1000974,동남로65길,CS100010,커피-음료,22707839,3520,82,18,17,11,23,22,9,14,4,0,1,30,33,32,4,36,64,10,7,23,48,9,3,18726237,3981602,3734696,4571795,3387657,3714140,3317949,2435934,1545668,0,357250,6709829,7602315,6076031,1962414,7924577,12651191,2068441,1912065,3297975,8081922,3832853,1382513,2868,652,604,644,545,553,522,423,229,0,56,943,1219,1040,262,1192,2127,592,366,548,1145,500,167,3
