기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
2015,1,A,골목상권,1000309,화랑로13길,CS100010,커피-음료,5,9,0,0,0,0,4
2015,1,A,골목상권,1000981,상암로5길,CS100010,커피-음료,7,10,10,1,0,0,3
2015,1,D,발달상권,1001162,서울 광진구 건대입구역_1,CS100010,커피-음료,17,20,0,0,5,1,3
2015,1,A,골목상권,1000018,종로58가길,CS100010,커피-음료,6,7,14,1,0,0,1
2015,1,D,발달상권,1001088,삼성역_1,CS100010,커피-음료,16,27,7,2,11,3,11
2015,1,D,발달상권,1001144,국회의사당역_2,CS100010,커피-음료,35,49,4,2,12,6,14
2015,1,A,골목상권,1000477,매봉산로2길,CS100010,커피-음료,18,18,0,0,0,0,0
2015,1,A,골목상권,1000268,동소문로13길,CS100010,커피-음료,2,3,33,1,33,1,1
2015,1,A,골목상권,1000712,선유서로25길,CS100010,커피-음료,6,7,14,1,0,0,1
2015,1,D,발달상권,1001082,선릉역_2,CS100010,커피-음료,32,59,7,4,9,5,27
2015,1,D,발달상권,1001189,서울 중구 명동역,CS100010,커피-음료,13,17,0,0,6,1,4
2015,1,A,골목상권,1000908,도산대로38길,CS100010,커피-음료,6,7,0,0,14,1,1
2015,1,A,골목상권,1000378,공릉로58길,CS100010,커피-음료,4,4,25,1,0,0,0
2015,1,A,골목상권,1000119,왕십리로31길,CS100010,커피-음료,3,4,25,1,0,0,1
2015,1,A,골목상권,1000109,성수이로7길,CS100010,커피-음료,5,6,0,0,0,0,1
2015,1,D,발달상권,1001211,동대문시장_1,CS100010,커피-음료,10,13,0,0,0,0,3
2015,1,A,골목상권,1000401,연서로16길,CS100010,커피-음료,1,1,0,0,0,0,0
2015,1,D,발달상권,1001212,서대문구 서대문역_1,CS100010,커피-음료,1,2,0,0,0,0,1
2015,1,A,골목상권,1000865,사임당로17길,CS100010,커피-음료,5,6,17,1,0,0,1
2015,1,A,골목상권,1000894,논현로106길,CS100010,커피-음료,3,4,25,1,0,0,1
2015,1,A,골목상권,1000837,행운길,CS100010,커피-음료,4,4,25,1,0,0,0
2015,1,A,골목상권,1000603,화곡로13길,CS100010,커피-음료,5,6,33,2,0,0,1
2015,1,R,전통시장,1001452,중부시장,CS100010,커피-음료,4,4,0,0,0,0,0
2015,1,A,골목상권,1000911,도산대로89길,CS100010,커피-음료,4,4,25,1,0,0,0
2015,1,A,골목상권,1000735,국사봉길,CS100010,커피-음료,2,2,0,0,0,0,0
2015,1,A,골목상권,1000951,백제고분로45길,CS100010,커피-음료,6,6,17,1,0,0,0
2015,1,A,골목상권,1000944,백제고분로22길,CS100010,커피-음료,3,3,33,1,67,2,0
2015,1,A,골목상권,1000901,논현로28길,CS100010,커피-음료,5,7,14,1,0,0,2
2015,1,A,골목상권,1000937,학동로56길,CS100010,커피-음료,6,7,0,0,14,1,1
2015,1,A,골목상권,1000083,한강대로88길,CS100010,커피-음료,1,1,0,0,0,0,0
2015,1,D,발달상권,1001040,서울 관악구 신림역_3,CS100010,커피-음료,5,8,0,0,0,0,3
2015,1,A,골목상권,1000672,시흥대로138길,CS100010,커피-음료,2,2,0,0,0,0,0
2015,1,A,골목상권,1000939,학동로77길,CS100010,커피-음료,5,5,0,0,0,0,0
2015,1,A,골목상권,1000947,백제고분로33길,CS100010,커피-음료,4,5,0,0,20,1,1
2015,1,A,골목상권,1000107,성덕정길,CS100010,커피-음료,2,2,0,0,0,0,0
2015,1,A,골목상권,1000110,성수일로6길,CS100010,커피-음료,1,2,0,0,0,0,1
2015,1,R,전통시장,1001365,공릉동도깨비시장,CS100010,커피-음료,3,3,0,0,0,0,0
2015,1,D,발달상권,1001258,등나무근린공원 주변,CS100010,커피-음료,3,5,0,0,0,0,2
2015,1,A,골목상권,1000125,한림말3길,CS100010,커피-음료,5,8,0,0,0,0,3
2015,1,A,골목상권,1000231,동일로123길,CS100010,커피-음료,3,4,25,1,50,2,1
2015,1,A,골목상권,1000465,독막로8길,CS100010,커피-음료,13,13,0,0,8,1,0
2015,1,A,골목상권,1000960,양재대로64길,CS100010,커피-음료,10,11,9,1,0,0,1
