기준년코드,기준분기코드,상권구분코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,점포수,유사업종점포수,개업율,개업점포수,폐업률,폐업점포수,프랜차이즈점포수
2015,1,D,발달상권,1001058,역삼역_1,CS300002,편의점,0,4,0,0,0,0,4
2015,1,A,골목상권,1000163,자양로53길,CS300002,편의점,0,3,0,0,0,0,3
2015,1,D,발달상권,1001230,인사동,CS300002,편의점,1,11,0,0,9,1,10
2015,1,A,골목상권,1000199,장한로27가길,CS300002,편의점,1,3,0,0,0,0,2
2015,1,D,발달상권,1001140,서울 강남구 압구정역,CS300002,편의점,5,19,0,0,0,0,14
2015,1,A,골목상권,1000979,상암로4길,CS300002,편의점,1,4,0,0,0,0,3
2015,1,A,골목상권,1000829,조원로10길,CS300002,편의점,2,4,0,0,0,0,2
2015,1,A,골목상권,1000773,여의대방로24길,CS300002,편의점,1,5,20,1,0,0,4
2015,1,A,골목상권,1000947,백제고분로33길,CS300002,편의점,2,8,0,0,0,0,6
2015,1,A,골목상권,1000007,북촌로5길,CS300002,편의점,2,4,0,0,0,0,2
2015,1,A,골목상권,1000780,관악로10길,CS300002,편의점,0,3,67,2,33,1,3
2015,1,D,발달상권,1001220,서울 종로구 동대문역_2,CS300002,편의점,1,6,0,0,0,0,5
2015,1,R,전통시장,1001478,방이시장,CS300002,편의점,1,7,0,0,0,0,6
2015,1,A,골목상권,1000953,백제고분로50길,CS300002,편의점,2,5,0,0,0,0,3
2015,1,D,발달상권,1001184,서울 마포구 홍대입구역_3,CS300002,편의점,3,9,11,1,0,0,6
2015,1,D,발달상권,1001022,관악구 사당역_2,CS300002,편의점,1,10,0,0,0,0,9
2015,1,A,골목상권,1000894,논현로106길,CS300002,편의점,3,10,10,1,0,0,7
2015,1,A,골목상권,1000903,논현로8길,CS300002,편의점,0,4,0,0,0,0,4
2015,1,D,발달상권,1001156,서울 강동구 길동역,CS300002,편의점,8,25,8,2,0,0,17
2015,1,D,발달상권,1001062,서울 강남구 강남역_1,CS300002,편의점,7,16,0,0,6,1,9
2015,1,A,골목상권,1000877,주흥15길,CS300002,편의점,0,3,0,0,0,0,3
2015,1,A,골목상권,1000816,신림로11길,CS300002,편의점,1,2,0,0,0,0,1
2015,1,D,발달상권,1001092,강남구 논현역_1,CS300002,편의점,1,11,9,1,0,0,10
2015,1,D,발달상권,1001044,양재역_3,CS300002,편의점,2,10,0,0,0,0,8
2015,1,A,골목상권,1000508,곰달래로10길,CS300002,편의점,0,3,0,0,0,0,3
2015,1,A,골목상권,1000980,상암로51길,CS300002,편의점,0,3,0,0,0,0,3
2015,1,D,발달상권,1001263,서울 노원구 노원역_3,CS300002,편의점,2,10,0,0,0,0,8
2015,1,A,골목상권,1000378,공릉로58길,CS300002,편의점,0,4,25,1,0,0,4
2015,1,D,발달상권,1001261,서울 노원구 노원역_1,CS300002,편의점,2,5,0,0,0,0,3
2015,1,R,전통시장,1001367,상계중앙시장,CS300002,편의점,0,1,0,0,0,0,1
2015,1,D,발달상권,1001258,등나무근린공원 주변,CS300002,편의점,0,1,0,0,0,0,1
2015,1,A,골목상권,1000349,한천로132길,CS300002,편의점,2,4,0,0,0,0,2
2015,1,A,골목상권,1000962,양재대로72길,CS300002,편의점,1,3,0,0,0,0,2
2015,1,D,발달상권,1001196,시청역_1,CS300002,편의점,1,9,11,1,11,1,8
