,시군구명,기준년코드,기준분기코드,점포수
0,강남구,2015,1,2041
1,강남구,2015,2,2041
2,강남구,2015,3,2037
3,강남구,2015,4,2061
4,강남구,2016,1,2081
5,강남구,2016,2,2095
6,강남구,2016,3,2112
7,강남구,2016,4,2137
8,강남구,2017,1,2133
9,강남구,2017,2,2122
10,강남구,2017,3,2134
11,강남구,2017,4,2153
12,강남구,2018,1,2156
13,강남구,2018,2,2176
14,강남구,2018,3,2170
15,강남구,2018,4,2181
16,강남구,2019,1,2194
17,강남구,2019,2,2221
18,강남구,2019,3,2261
19,강남구,2019,4,2264
20,강동구,2015,1,622
21,강동구,2015,2,628
22,강동구,2015,3,618
23,강동구,2015,4,618
24,강동구,2016,1,616
25,강동구,2016,2,624
26,강동구,2016,3,627
27,강동구,2016,4,632
28,강동구,2017,1,616
29,강동구,2017,2,614
30,강동구,2017,3,613
31,강동구,2017,4,620
32,강동구,2018,1,620
33,강동구,2018,2,618
34,강동구,2018,3,615
35,강동구,2018,4,603
36,강동구,2019,1,607
37,강동구,2019,2,599
38,강동구,2019,3,598
39,강동구,2019,4,601
40,강북구,2015,1,213
41,강북구,2015,2,210
42,강북구,2015,3,214
43,강북구,2015,4,217
44,강북구,2016,1,216
45,강북구,2016,2,218
46,강북구,2016,3,213
47,강북구,2016,4,214
48,강북구,2017,1,214
49,강북구,2017,2,212
50,강북구,2017,3,208
51,강북구,2017,4,206
52,강북구,2018,1,203
53,강북구,2018,2,207
54,강북구,2018,3,205
55,강북구,2018,4,202
56,강북구,2019,1,203
57,강북구,2019,2,203
58,강북구,2019,3,200
59,강북구,2019,4,202
60,강서구,2015,1,563
61,강서구,2015,2,553
62,강서구,2015,3,554
63,강서구,2015,4,557
64,강서구,2016,1,544
65,강서구,2016,2,546
66,강서구,2016,3,552
67,강서구,2016,4,553
68,강서구,2017,1,551
69,강서구,2017,2,549
70,강서구,2017,3,538
71,강서구,2017,4,545
72,강서구,2018,1,537
73,강서구,2018,2,538
74,강서구,2018,3,539
75,강서구,2018,4,544
76,강서구,2019,1,539
77,강서구,2019,2,538
78,강서구,2019,3,533
79,강서구,2019,4,535
80,관악구,2015,1,475
81,관악구,2015,2,477
82,관악구,2015,3,469
83,관악구,2015,4,468
84,관악구,2016,1,470
85,관악구,2016,2,476
86,관악구,2016,3,477
87,관악구,2016,4,476
88,관악구,2017,1,481
89,관악구,2017,2,481
90,관악구,2017,3,479
91,관악구,2017,4,480
92,관악구,2018,1,476
93,관악구,2018,2,476
94,관악구,2018,3,472
95,관악구,2018,4,470
96,관악구,2019,1,463
97,관악구,2019,2,461
98,관악구,2019,3,462
99,관악구,2019,4,448
100,광진구,2015,1,331
101,광진구,2015,2,324
102,광진구,2015,3,331
103,광진구,2015,4,328
104,광진구,2016,1,338
105,광진구,2016,2,343
106,광진구,2016,3,348
107,광진구,2016,4,353
108,광진구,2017,1,354
109,광진구,2017,2,357
110,광진구,2017,3,356
111,광진구,2017,4,359
112,광진구,2018,1,352
113,광진구,2018,2,356
114,광진구,2018,3,356
115,광진구,2018,4,355
116,광진구,2019,1,352
117,광진구,2019,2,354
118,광진구,2019,3,342
119,광진구,2019,4,342
120,구로구,2015,1,357
121,구로구,2015,2,348
122,구로구,2015,3,354
123,구로구,2015,4,353
124,구로구,2016,1,358
125,구로구,2016,2,355
