,시군구명,기준년코드,기준분기코드,오락시설점포수
0,강남구,2015,1,978
1,강남구,2015,2,981
2,강남구,2015,3,964
3,강남구,2015,4,977
4,강남구,2016,1,961
5,강남구,2016,2,985
6,강남구,2016,3,986
7,강남구,2016,4,999
8,강남구,2017,1,1000
9,강남구,2017,2,1016
10,강남구,2017,3,1030
11,강남구,2017,4,1021
12,강남구,2018,1,1020
13,강남구,2018,2,1018
14,강남구,2018,3,1004
15,강남구,2018,4,993
16,강남구,2019,1,981
17,강남구,2019,2,970
18,강남구,2019,3,960
19,강남구,2019,4,1122
20,강동구,2015,1,549
21,강동구,2015,2,539
22,강동구,2015,3,540
23,강동구,2015,4,545
24,강동구,2016,1,541
25,강동구,2016,2,553
26,강동구,2016,3,551
27,강동구,2016,4,564
28,강동구,2017,1,566
29,강동구,2017,2,567
30,강동구,2017,3,578
31,강동구,2017,4,574
32,강동구,2018,1,556
33,강동구,2018,2,561
34,강동구,2018,3,546
35,강동구,2018,4,543
36,강동구,2019,1,546
37,강동구,2019,2,544
38,강동구,2019,3,535
39,강동구,2019,4,524
40,강북구,2015,1,386
41,강북구,2015,2,377
42,강북구,2015,3,377
43,강북구,2015,4,375
44,강북구,2016,1,372
45,강북구,2016,2,385
46,강북구,2016,3,393
47,강북구,2016,4,413
48,강북구,2017,1,414
49,강북구,2017,2,410
50,강북구,2017,3,419
51,강북구,2017,4,409
52,강북구,2018,1,401
53,강북구,2018,2,392
54,강북구,2018,3,387
55,강북구,2018,4,389
56,강북구,2019,1,382
57,강북구,2019,2,380
58,강북구,2019,3,377
59,강북구,2019,4,366
60,강서구,2015,1,513
61,강서구,2015,2,501
62,강서구,2015,3,475
63,강서구,2015,4,482
64,강서구,2016,1,487
65,강서구,2016,2,487
66,강서구,2016,3,486
67,강서구,2016,4,495
68,강서구,2017,1,490
69,강서구,2017,2,504
70,강서구,2017,3,514
71,강서구,2017,4,514
72,강서구,2018,1,511
73,강서구,2018,2,505
74,강서구,2018,3,494
75,강서구,2018,4,493
76,강서구,2019,1,480
77,강서구,2019,2,470
78,강서구,2019,3,454
79,강서구,2019,4,453
80,관악구,2015,1,612
81,관악구,2015,2,597
82,관악구,2015,3,584
83,관악구,2015,4,576
84,관악구,2016,1,581
85,관악구,2016,2,587
86,관악구,2016,3,604
87,관악구,2016,4,610
88,관악구,2017,1,614
89,관악구,2017,2,629
90,관악구,2017,3,635
91,관악구,2017,4,633
92,관악구,2018,1,625
93,관악구,2018,2,604
94,관악구,2018,3,588
95,관악구,2018,4,584
96,관악구,2019,1,572
97,관악구,2019,2,565
98,관악구,2019,3,558
99,관악구,2019,4,547
100,광진구,2015,1,540
101,광진구,2015,2,529
102,광진구,2015,3,528
103,광진구,2015,4,541
104,광진구,2016,1,548
105,광진구,2016,2,544
106,광진구,2016,3,563
107,광진구,2016,4,588
108,광진구,2017,1,608
109,광진구,2017,2,620
110,광진구,2017,3,623
111,광진구,2017,4,621
112,광진구,2018,1,608
113,광진구,2018,2,605
114,광진구,2018,3,585
115,광진구,2018,4,577
116,광진구,2019,1,569
117,광진구,2019,2,565
118,광진구,2019,3,552
119,광진구,2019,4,551
120,구로구,2015,1,495
121,구로구,2015,2,499
122,구로구,2015,3,488
123,구로구,2015,4,492
124,구로구,2016,1,499
125,구로구,2016,2,501
126,구로구,2016,3,511
127,구로구,2016,4,519
128,구로구,2017,1,513
129,구로구,2017,2,524
130,구로구,2017,3,523
131,구로구,2017,4,518
132,구로구,2018,1,515
133,구로구,2018,2,518
134,구로구,2018,3,508
135,구로구,2018,4,506
136,구로구,2019,1,507
137,구로구,2019,2,501
138,구로구,2019,3,490
139,구로구,2019,4,485
140,금천구,2015,1,340
141,금천구,2015,2,335
142,금천구,2015,3,331
143,금천구,2015,4,328
144,금천구,2016,1,331
145,금천구,2016,2,332
146,금천구,2016,3,325
147,금천구,2016,4,331
148,금천구,2017,1,335
149,금천구,2017,2,341
150,금천구,2017,3,345
151,금천구,2017,4,342
152,금천구,2018,1,340
153,금천구,2018,2,342
154,금천구,2018,3,338
155,금천구,2018,4,337
156,금천구,2019,1,332
157,금천구,2019,2,328
158,금천구,2019,3,325
159,금천구,2019,4,325
160,노원구,2015,1,261
161,노원구,2015,2,260
162,노원구,2015,3,250
163,노원구,2015,4,253
164,노원구,2016,1,250
165,노원구,2016,2,254
166,노원구,2016,3,259
167,노원구,2016,4,264
168,노원구,2017,1,277
169,노원구,2017,2,277
170,노원구,2017,3,281
171,노원구,2017,4,285
172,노원구,2018,1,274
173,노원구,2018,2,273
174,노원구,2018,3,268
175,노원구,2018,4,261
176,노원구,2019,1,263
177,노원구,2019,2,254
178,노원구,2019,3,256
179,노원구,2019,4,249
180,도봉구,2015,1,239
181,도봉구,2015,2,233
182,도봉구,2015,3,236
183,도봉구,2015,4,234
184,도봉구,2016,1,233
185,도봉구,2016,2,239
186,도봉구,2016,3,240
187,도봉구,2016,4,248
188,도봉구,2017,1,253
189,도봉구,2017,2,260
190,도봉구,2017,3,263
191,도봉구,2017,4,265
192,도봉구,2018,1,264
193,도봉구,2018,2,251
194,도봉구,2018,3,253
195,도봉구,2018,4,254
196,도봉구,2019,1,250
197,도봉구,2019,2,246
198,도봉구,2019,3,242
199,도봉구,2019,4,241
200,동대문구,2015,1,374
201,동대문구,2015,2,380
202,동대문구,2015,3,373
203,동대문구,2015,4,372
204,동대문구,2016,1,374
205,동대문구,2016,2,381
206,동대문구,2016,3,384
207,동대문구,2016,4,394
208,동대문구,2017,1,397
209,동대문구,2017,2,398
210,동대문구,2017,3,397
211,동대문구,2017,4,394
212,동대문구,2018,1,394
213,동대문구,2018,2,391
214,동대문구,2018,3,388
215,동대문구,2018,4,376
216,동대문구,2019,1,375
217,동대문구,2019,2,364
218,동대문구,2019,3,351
219,동대문구,2019,4,340
220,동작구,2015,1,437
221,동작구,2015,2,428
222,동작구,2015,3,424
223,동작구,2015,4,425
224,동작구,2016,1,421
225,동작구,2016,2,429
226,동작구,2016,3,442
227,동작구,2016,4,458
228,동작구,2017,1,466
229,동작구,2017,2,465
230,동작구,2017,3,467
231,동작구,2017,4,465
232,동작구,2018,1,454
233,동작구,2018,2,458
234,동작구,2018,3,460
235,동작구,2018,4,448
236,동작구,2019,1,435
237,동작구,2019,2,429
238,동작구,2019,3,428
239,동작구,2019,4,417
240,마포구,2015,1,388
241,마포구,2015,2,390
242,마포구,2015,3,392
243,마포구,2015,4,387
244,마포구,2016,1,398
245,마포구,2016,2,411
246,마포구,2016,3,424
247,마포구,2016,4,435
248,마포구,2017,1,446
249,마포구,2017,2,459
250,마포구,2017,3,465
251,마포구,2017,4,473
252,마포구,2018,1,467
253,마포구,2018,2,464
254,마포구,2018,3,473
255,마포구,2018,4,472
256,마포구,2019,1,467
257,마포구,2019,2,472
258,마포구,2019,3,476
259,마포구,2019,4,475
260,서대문구,2015,1,300
261,서대문구,2015,2,303
262,서대문구,2015,3,299
263,서대문구,2015,4,307
264,서대문구,2016,1,303
265,서대문구,2016,2,303
266,서대문구,2016,3,304
267,서대문구,2016,4,314
268,서대문구,2017,1,316
269,서대문구,2017,2,325
270,서대문구,2017,3,327
271,서대문구,2017,4,326
272,서대문구,2018,1,321
273,서대문구,2018,2,319
274,서대문구,2018,3,315
275,서대문구,2018,4,311
276,서대문구,2019,1,305
277,서대문구,2019,2,293
278,서대문구,2019,3,291
279,서대문구,2019,4,288
280,서초구,2015,1,701
281,서초구,2015,2,700
282,서초구,2015,3,688
283,서초구,2015,4,690
284,서초구,2016,1,693
285,서초구,2016,2,693
286,서초구,2016,3,701
287,서초구,2016,4,704
288,서초구,2017,1,707
289,서초구,2017,2,712
290,서초구,2017,3,712
291,서초구,2017,4,712
292,서초구,2018,1,708
293,서초구,2018,2,707
294,서초구,2018,3,697
295,서초구,2018,4,700
296,서초구,2019,1,684
297,서초구,2019,2,668
298,서초구,2019,3,665
299,서초구,2019,4,652
300,성동구,2015,1,264
301,성동구,2015,2,260
302,성동구,2015,3,255
303,성동구,2015,4,258
304,성동구,2016,1,261
305,성동구,2016,2,270
306,성동구,2016,3,274
307,성동구,2016,4,279
308,성동구,2017,1,280
309,성동구,2017,2,281
310,성동구,2017,3,291
311,성동구,2017,4,285
312,성동구,2018,1,283
313,성동구,2018,2,278
314,성동구,2018,3,282
315,성동구,2018,4,276
316,성동구,2019,1,275
317,성동구,2019,2,268
318,성동구,2019,3,265
319,성동구,2019,4,261
320,성북구,2015,1,334
321,성북구,2015,2,331
322,성북구,2015,3,325
323,성북구,2015,4,326
324,성북구,2016,1,329
325,성북구,2016,2,328
326,성북구,2016,3,337
327,성북구,2016,4,349
328,성북구,2017,1,346
329,성북구,2017,2,347
330,성북구,2017,3,348
331,성북구,2017,4,351
332,성북구,2018,1,350
333,성북구,2018,2,339
334,성북구,2018,3,325
335,성북구,2018,4,329
336,성북구,2019,1,322
337,성북구,2019,2,315
338,성북구,2019,3,308
339,성북구,2019,4,310
340,송파구,2015,1,780
341,송파구,2015,2,756
342,송파구,2015,3,779
343,송파구,2015,4,771
344,송파구,2016,1,795
345,송파구,2016,2,798
346,송파구,2016,3,807
347,송파구,2016,4,822
348,송파구,2017,1,829
349,송파구,2017,2,838
350,송파구,2017,3,842
351,송파구,2017,4,841
352,송파구,2018,1,833
353,송파구,2018,2,839
354,송파구,2018,3,821
355,송파구,2018,4,811
356,송파구,2019,1,812
357,송파구,2019,2,807
358,송파구,2019,3,793
359,송파구,2019,4,775
360,양천구,2015,1,382
361,양천구,2015,2,379
362,양천구,2015,3,371
363,양천구,2015,4,376
364,양천구,2016,1,371
365,양천구,2016,2,375
366,양천구,2016,3,377
367,양천구,2016,4,385
368,양천구,2017,1,391
369,양천구,2017,2,395
370,양천구,2017,3,395
371,양천구,2017,4,394
372,양천구,2018,1,386
373,양천구,2018,2,375
374,양천구,2018,3,378
375,양천구,2018,4,371
376,양천구,2019,1,367
377,양천구,2019,2,363
378,양천구,2019,3,356
379,양천구,2019,4,345
380,영등포구,2015,1,543
381,영등포구,2015,2,532
382,영등포구,2015,3,533
383,영등포구,2015,4,529
384,영등포구,2016,1,528
385,영등포구,2016,2,548
386,영등포구,2016,3,551
387,영등포구,2016,4,554
388,영등포구,2017,1,566
389,영등포구,2017,2,575
390,영등포구,2017,3,587
391,영등포구,2017,4,580
392,영등포구,2018,1,572
393,영등포구,2018,2,568
394,영등포구,2018,3,563
395,영등포구,2018,4,562
396,영등포구,2019,1,559
397,영등포구,2019,2,553
398,영등포구,2019,3,547
399,영등포구,2019,4,538
400,용산구,2015,1,212
401,용산구,2015,2,210
402,용산구,2015,3,213
403,용산구,2015,4,218
404,용산구,2016,1,218
405,용산구,2016,2,223
406,용산구,2016,3,220
407,용산구,2016,4,225
408,용산구,2017,1,229
409,용산구,2017,2,237
410,용산구,2017,3,229
411,용산구,2017,4,230
412,용산구,2018,1,226
413,용산구,2018,2,219
414,용산구,2018,3,219
415,용산구,2018,4,219
416,용산구,2019,1,212
417,용산구,2019,2,207
418,용산구,2019,3,207
419,용산구,2019,4,201
420,은평구,2015,1,353
421,은평구,2015,2,349
422,은평구,2015,3,349
423,은평구,2015,4,339
424,은평구,2016,1,347
425,은평구,2016,2,347
426,은평구,2016,3,351
427,은평구,2016,4,354
428,은평구,2017,1,361
429,은평구,2017,2,355
430,은평구,2017,3,358
431,은평구,2017,4,356
432,은평구,2018,1,355
433,은평구,2018,2,339
434,은평구,2018,3,336
435,은평구,2018,4,332
436,은평구,2019,1,330
437,은평구,2019,2,325
438,은평구,2019,3,319
439,은평구,2019,4,314
440,종로구,2015,1,493
441,종로구,2015,2,473
442,종로구,2015,3,471
443,종로구,2015,4,471
444,종로구,2016,1,477
445,종로구,2016,2,472
446,종로구,2016,3,472
447,종로구,2016,4,477
448,종로구,2017,1,475
449,종로구,2017,2,481
450,종로구,2017,3,492
451,종로구,2017,4,494
452,종로구,2018,1,497
453,종로구,2018,2,482
454,종로구,2018,3,475
455,종로구,2018,4,477
456,종로구,2019,1,469
457,종로구,2019,2,466
458,종로구,2019,3,460
459,종로구,2019,4,453
460,중구,2015,1,453
461,중구,2015,2,452
462,중구,2015,3,438
463,중구,2015,4,441
464,중구,2016,1,444
465,중구,2016,2,437
466,중구,2016,3,436
467,중구,2016,4,445
468,중구,2017,1,437
469,중구,2017,2,447
470,중구,2017,3,443
471,중구,2017,4,438
472,중구,2018,1,431
473,중구,2018,2,426
474,중구,2018,3,420
475,중구,2018,4,407
476,중구,2019,1,406
477,중구,2019,2,404
478,중구,2019,3,399
479,중구,2019,4,398
480,중랑구,2015,1,396
481,중랑구,2015,2,395
482,중랑구,2015,3,392
483,중랑구,2015,4,396
484,중랑구,2016,1,394
485,중랑구,2016,2,394
486,중랑구,2016,3,399
487,중랑구,2016,4,400
488,중랑구,2017,1,408
489,중랑구,2017,2,411
490,중랑구,2017,3,415
491,중랑구,2017,4,408
492,중랑구,2018,1,404
493,중랑구,2018,2,400
494,중랑구,2018,3,403
495,중랑구,2018,4,401
496,중랑구,2019,1,394
497,중랑구,2019,2,396
498,중랑구,2019,3,394
499,중랑구,2019,4,387
