시군구명,기준년월코드,기준분기코드,총직장인구수,남성직장인구수,여성직장인구수,연령대10직장인구수,연령대20직장인구수,연령대30직장인구수,연령대40직장인구수,연령대50직장인구수,연령대60이상직장인구수,남성연령대10직장인구수,남성연령대20직장인구수,남성연령대30직장인구수,남성연령대40직장인구수,남성연령대50직장인구수,남성연령대60이상직장인구수,여성연령대10직장인구수,여성연령대20직장인구수,여성연령대30직장인구수,여성연령대40직장인구수,여성연령대50직장인구수,여성연령대60이상직장인구수
강남구,2015,1,693089,396755,296334,5208,166848,236027,162911,84700,37395,2390,67240,146261,104792,50996,25076,2818,99608,89766,58119,33704,12319
강남구,2015,2,698039,397495,300544,3334,157962,237882,168648,89189,41024,1469,62081,145262,108697,53029,26957,1865,95881,92620,59951,36160,14067
강남구,2015,3,698039,397495,300544,3334,157962,237882,168648,89189,41024,1469,62081,145262,108697,53029,26957,1865,95881,92620,59951,36160,14067
강남구,2015,4,701865,399761,302104,4806,167046,233284,167286,88933,40510,2072,67433,143515,107418,52772,26551,2734,99613,89769,59868,36161,13959
강남구,2016,1,701865,399761,302104,4806,167046,233284,167286,88933,40510,2072,67433,143515,107418,52772,26551,2734,99613,89769,59868,36161,13959
강남구,2016,2,705284,401041,304243,3262,159073,234020,171432,92811,44686,1380,62359,141641,110937,55591,29133,1882,96714,92379,60495,37220,15553
강남구,2016,3,705284,401041,304243,3262,159073,234020,171432,92811,44686,1380,62359,141641,110937,55591,29133,1882,96714,92379,60495,37220,15553
강남구,2016,4,712048,405644,306404,5091,169264,230971,170354,92364,44004,2148,68573,141167,109587,55499,28670,2943,100691,89804,60767,36865,15334
강남구,2017,1,712048,405644,306404,5091,169264,230971,170354,92364,44004,2148,68573,141167,109587,55499,28670,2943,100691,89804,60767,36865,15334
강남구,2017,2,723476,410416,313060,3395,160124,233043,176369,100259,50286,1404,63960,140264,113607,58815,32366,1991,96164,92779,62762,41444,17920
강남구,2017,3,723476,410416,313060,3395,160124,233043,176369,100259,50286,1404,63960,140264,113607,58815,32366,1991,96164,92779,62762,41444,17920
강남구,2017,4,718896,407535,311361,4948,165538,225687,173262,99505,49956,2014,67074,136520,111677,58162,32088,2934,98464,89167,61585,41343,17868
강남구,2018,1,718896,407535,311361,4948,165538,225687,173262,99505,49956,2014,67074,136520,111677,58162,32088,2934,98464,89167,61585,41343,17868
강남구,2018,2,723405,415696,307709,2999,155236,231644,174160,104750,54616,1199,62031,138767,116305,62545,34849,1800,93205,92877,57855,42205,19767
강남구,2018,3,723405,415696,307709,2999,155236,231644,174160,104750,54616,1199,62031,138767,116305,62545,34849,1800,93205,92877,57855,42205,19767
강남구,2018,4,723405,415696,307709,2999,155236,231644,174160,104750,54616,1199,62031,138767,116305,62545,34849,1800,93205,92877,57855,42205,19767
강남구,2019,1,667059,361738,305321,4529,164423,207365,149310,89227,52205,1667,62739,117623,96304,51665,31740,2862,101684,89742,53006,37562,20465
강남구,2019,2,674493,397653,276840,1855,131886,207408,169334,111750,52260,754,57547,125589,112112,67937,33714,1101,74339,81819,57222,43813,18546
강남구,2019,3,674493,397653,276840,1855,131886,207408,169334,111750,52260,754,57547,125589,112112,67937,33714,1101,74339,81819,57222,43813,18546
