시군구명,기준년코드,기준분기코드,점포수,유사업종점포수,개업율,개업점포수,폐업률,폐업점포수,점포수.0,편의점점포수
강남구,2015,1,161,708,465,26,625,34,547,710
강남구,2015,2,159,719,438,34,360,23,560,715
강남구,2015,3,156,726,511,35,375,27,570,717
강남구,2015,4,158,737,505,40,578,29,579,734
강남구,2016,1,156,736,381,21,329,22,580,732
강남구,2016,2,160,756,503,38,285,18,596,751
강남구,2016,3,165,765,626,35,506,26,600,757
강남구,2016,4,171,774,567,48,732,39,603,762
강남구,2017,1,178,778,488,36,527,32,600,772
강남구,2017,2,182,791,446,42,421,29,609,794
강남구,2017,3,187,798,437,35,387,28,611,793
강남구,2017,4,179,780,262,17,424,35,601,781
강남구,2018,1,179,777,339,30,385,33,598,777
강남구,2018,2,179,775,379,30,428,32,596,777
강남구,2018,3,178,765,383,28,535,38,587,766
강남구,2018,4,180,763,433,29,735,31,583,757
강남구,2019,1,183,747,239,21,471,31,564,745
강남구,2019,2,185,750,196,28,263,25,565,746
강남구,2019,3,192,744,260,25,320,33,552,746
강남구,2019,4,161,816,208,17,537,32,655,818
강동구,2015,1,44,201,77,7,163,6,157,202
강동구,2015,2,44,210,298,13,75,4,166,207
강동구,2015,3,43,218,272,15,107,7,175,217
강동구,2015,4,42,215,179,9,353,12,173,219
강동구,2016,1,42,221,415,12,191,6,179,219
강동구,2016,2,46,230,345,11,54,4,184,225
강동구,2016,3,48,231,350,11,335,10,183,230
강동구,2016,4,51,244,454,19,133,6,193,238
강동구,2017,1,46,238,248,11,390,17,192,234
강동구,2017,2,45,246,308,16,115,8,201,242
강동구,2017,3,46,243,106,7,277,10,197,242
강동구,2017,4,46,245,81,4,13,2,199,243
강동구,2018,1,47,245,204,9,196,9,198,244
강동구,2018,2,44,241,80,5,140,8,197,242
강동구,2018,3,43,236,124,5,215,10,193,237
강동구,2018,4,43,234,60,4,78,6,191,235
강동구,2019,1,43,233,154,9,144,8,190,230
강동구,2019,2,42,225,104,5,187,11,183,222
강동구,2019,3,43,224,86,9,225,11,181,226
